City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
236,Aksarka,66.5606,67.7975,-2.25,96,100,7.96,RU,2022-01-29 00:58:01,overcast clouds
237,Rocha,-34.4833,-54.3333,59.79,78,0,3.29,UY,2022-01-29 01:00:13,clear sky
238,Saint-Francois,46.4154,3.9054,33.24,97,100,2.3,FR,2022-01-29 01:00:13,overcast clouds
239,Doka,13.5167,35.7667,68.43,35,5,12.84,SD,2022-01-29 01:00:14,clear sky
240,Chapais,49.7834,-74.8492,-23.42,100,19,3.22,CA,2022-01-29 01:00:15,few clouds
241,Kirando,-7.4167,30.6,71.65,81,100,5.08,TZ,2022-01-29 01:00:15,light rain
242,Coracora,-15.0333,-73.7833,49.68,59,43,4.41,PE,2022-01-29 01:00:16,scattered clouds
243,Eskilstuna,59.3666,16.5077,36.03,81,100,8.99,SE,2022-01-29 01:00:16,overcast clouds
244,Phan Thiet,10.9333,108.1,77.85,64,17,1.39,VN,2022-01-29 01:00:17,few clouds
245,Bongandanga,1.5,21.05,74.14,47,94,1.32,CD,2022-01-29 01:00:17,overcast clouds
246,Hofn,64.2539,-15.2082,26.51,57,98,18.52,IS,2022-01-29 01:00:18,overcast clouds
247,Namtsy,62.7161,129.6658,-29.09,100,100,3.18,RU,2022-01-29 01:00:19,overcast clouds
248,Paracatu,-17.2222,-46.8747,70.16,80,95,3.04,BR,2022-01-29 00:58:21,overcast clouds
249,Wajima,37.4,136.9,36.52,74,100,6.38,JP,2022-01-29 01:00:19,overcast clouds
250,Coihaique,-45.5752,-72.0662,60.73,55,100,5.66,CL,2022-01-29 01:00:20,overcast clouds
251,Saldanha,-33.0117,17.9442,63.01,81,0,14.85,ZA,2022-01-29 01:00:20,clear sky
252,Zhangye,38.9342,100.4517,21.22,29,0,6.53,CN,2022-01-29 01:00:21,clear sky
253,Yeppoon,-23.1333,150.7333,82.18,68,41,17.22,AU,2022-01-29 01:00:21,scattered clouds
254,Ahipara,-35.1667,173.1667,75.58,49,100,9.46,NZ,2022-01-29 01:00:22,overcast clouds
255,Henties Bay,-22.116,14.2845,62.85,82,95,7.92,NA,2022-01-29 01:00:22,overcast clouds
256,Marawi,7.9986,124.2928,71.65,78,7,0.22,PH,2022-01-29 01:00:23,clear sky
257,Conde,-7.2597,-34.9075,78.96,73,100,9.48,BR,2022-01-29 01:00:23,heavy intensity rain
258,Xiaoyi,34.6178,109.703,32.31,71,19,1.97,CN,2022-01-29 01:00:23,few clouds
259,Nampula,-15.1165,39.2666,67.41,98,14,2.06,MZ,2022-01-29 01:00:24,few clouds
