City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Yeppoon,AU,2022-01-27 23:49:45,-23.1333,150.7333,82.18,65,85,15.64
145,Anantapur,IN,2022-01-27 23:49:45,14.6833,77.6,66.11,81,32,6.62
146,Lavrentiya,RU,2022-01-27 23:49:45,65.5833,-171.0,-10.93,88,44,3.11
147,Planeta Rica,CO,2022-01-27 23:49:46,8.4147,-75.5883,83.44,85,85,10.94
148,Progreso,MX,2022-01-27 23:49:46,21.2833,-89.6667,77.11,74,13,12.37
149,Ilulissat,GL,2022-01-27 23:49:46,69.2167,-51.1,6.82,78,100,12.66
150,Cape Town,ZA,2022-01-27 23:44:47,-33.9258,18.4232,66.09,70,20,12.66
151,Faanui,PF,2022-01-27 23:49:47,-16.4833,-151.75,80.85,76,19,15.48
152,Talnakh,RU,2022-01-27 23:49:47,69.4865,88.3972,4.21,93,100,16.31
153,Atbasar,KZ,2022-01-27 23:49:47,51.8,68.3333,-0.63,96,100,4.45
154,Xushan,CN,2022-01-27 23:49:48,30.1764,121.2457,39.13,98,100,5.59
155,Coquimbo,CL,2022-01-27 23:49:48,-29.9533,-71.3436,64.13,82,20,10.36
156,Zhanaozen,KZ,2022-01-27 23:49:49,43.3,52.8,35.78,86,100,11.56
157,Humaita,BR,2022-01-27 23:49:49,-7.5061,-63.0208,74.64,97,71,2.86
158,Sterlibashevo,RU,2022-01-27 23:49:49,53.4376,55.2578,0.7,100,75,1.05
159,Takoradi,GH,2022-01-27 23:49:50,4.8845,-1.7554,78.3,85,34,5.14
160,Wronki,PL,2022-01-27 23:49:50,52.7105,16.3804,41.61,85,91,22.73
161,Ierapetra,GR,2022-01-27 23:49:50,35.01,25.7353,45.14,76,44,7.0
162,Haines Junction,CA,2022-01-27 23:49:51,60.7522,-137.5108,21.15,86,100,2.3
163,Husavik,IS,2022-01-27 23:49:51,66.0449,-17.3389,35.51,81,100,14.92
164,Khatanga,RU,2022-01-27 23:49:51,71.9667,102.5,5.49,77,97,16.64
165,Mende,FR,2022-01-27 23:49:52,44.6667,3.5,22.73,74,26,5.19
166,Pevek,RU,2022-01-27 23:49:52,69.7008,170.3133,-27.45,99,29,3.4
167,Kholm,RU,2022-01-27 23:49:52,59.2667,32.85,22.26,93,100,8.95
168,Meulaboh,ID,2022-01-27 23:49:52,4.1363,96.1285,75.67,91,88,4.29
169,Guozhen,CN,2022-01-27 23:49:53,34.3659,107.359,32.27,95,100,2.55
170,Kaitong,CN,2022-01-27 23:49:53,44.8135,123.15,-6.25,90,5,5.66
171,Karaton,ID,2022-01-27 23:49:53,-6.3424,106.1045,80.96,88,100,2.28
172,Aksehir,TR,2022-01-27 23:49:54,38.3575,31.4164,8.06,94,41,2.39
173,Lingao,CN,2022-01-27 23:49:54,19.9103,109.6859,68.05,92,10,9.35
174,Gunjur,GM,2022-01-27 23:49:55,13.2019,-16.7339,71.67,68,0,4.61
175,Abu Dhabi,AE,2022-01-27 23:49:55,24.4667,54.3667,65.97,83,0,1.14
176,Ishim,RU,2022-01-27 23:49:55,56.1128,69.4902,1.58,100,83,5.75
177,Hofn,IS,2022-01-27 23:49:56,64.2539,-15.2082,32.74,99,100,4.45
178,Zhigansk,RU,2022-01-27 23:49:56,66.7697,123.3711,-32.42,100,53,3.18
179,Asau,RO,2022-01-27 23:49:57,46.4333,26.4,34.72,89,95,7.92
180,Sao Joao Da Barra,BR,2022-01-27 23:50:57,-21.6403,-41.0511,76.39,88,4,17.09
181,Kirakira,SB,2022-01-27 23:50:57,-10.4544,161.9205,78.94,90,100,7.85
182,Hamilton,US,2022-01-27 23:50:06,39.1834,-84.5333,36.36,67,100,1.01
183,Norrtalje,SE,2022-01-27 23:50:58,59.758,18.705,33.73,86,100,15.9
184,Bubaque,GW,2022-01-27 23:50:58,11.2833,-15.8333,78.46,65,66,15.12
185,Mabopane,ZA,2022-01-27 23:50:58,-25.4977,28.1007,71.35,88,97,4.61
186,Lompoc,US,2022-01-27 23:48:26,34.6391,-120.4579,70.09,47,0,5.75
187,Lebu,CL,2022-01-27 23:48:33,-37.6167,-73.65,61.38,91,8,4.36
188,Skjervoy,NO,2022-01-27 23:50:59,70.0311,20.9714,31.84,80,100,10.4
189,Tual,ID,2022-01-27 23:50:59,-5.6667,132.75,84.16,72,96,8.84
190,Bamako,ML,2022-01-27 23:50:59,12.65,-8.0,75.61,20,18,6.91
191,Ponta Do Sol,PT,2022-01-27 23:51:00,32.6667,-17.1,59.0,78,50,4.92
192,North Branch,US,2022-01-27 23:51:00,45.5113,-92.9802,19.38,50,58,8.03
193,Jiuquan,CN,2022-01-27 23:51:00,39.7432,98.5174,17.89,46,52,3.47
194,Sault Sainte Marie,CA,2022-01-27 23:49:04,46.5168,-84.3333,15.89,64,0,11.5
195,Guerrero Negro,MX,2022-01-27 23:46:32,27.9769,-114.0611,69.21,31,57,10.11
196,Kampot,KH,2022-01-27 23:51:01,10.6167,104.1833,75.25,80,34,1.52
197,Srednekolymsk,RU,2022-01-27 23:51:01,67.45,153.6833,-35.12,98,90,4.36
198,Pacific Grove,US,2022-01-27 23:50:03,36.6177,-121.9166,70.57,69,0,5.01
199,Yabrud,SY,2022-01-27 23:51:01,33.9674,36.6574,28.06,74,29,3.36
200,Santa Maria,BR,2022-01-27 23:51:02,-29.6842,-53.8069,70.9,83,75,5.75
201,Goderich,CA,2022-01-27 23:46:52,43.7501,-81.7165,29.91,86,100,17.27
202,Ribeira Grande,PT,2022-01-27 23:51:02,38.5167,-28.7,59.4,72,20,12.66
203,Maumere,ID,2022-01-27 23:51:03,-8.6199,122.2111,80.94,81,100,2.08
204,Port Elizabeth,ZA,2022-01-27 23:46:14,-33.918,25.5701,68.29,88,0,8.05
205,Port Hawkesbury,CA,2022-01-27 23:51:03,45.6169,-61.3485,17.19,86,20,1.01
206,Florida Ridge,US,2022-01-27 23:51:03,27.5803,-80.3867,69.01,83,0,5.01
207,Tura,IN,2022-01-27 23:51:04,25.5198,90.2201,46.83,66,0,2.8
208,Flin Flon,CA,2022-01-27 23:51:04,54.7682,-101.865,1.24,66,100,3.44
209,Marrakesh,MA,2022-01-27 23:51:04,31.6315,-8.0083,57.27,58,40,6.91
210,Sa Kaeo,TH,2022-01-27 23:51:05,13.75,102.3333,75.42,74,6,5.39
211,Lucea,JM,2022-01-27 23:51:05,18.451,-78.1736,80.46,72,25,12.19
212,Roma,US,2022-01-27 23:48:32,43.2128,-75.4557,30.06,49,100,6.91
213,Guanica,PR,2022-01-27 23:51:05,17.9716,-66.908,78.91,69,50,6.89
214,Cay,TR,2022-01-27 23:51:06,38.5917,31.0286,10.76,94,54,2.8
215,Ust-Tsilma,RU,2022-01-27 23:51:06,65.441,52.1498,3.81,96,92,4.05
216,Santiago Del Estero,AR,2022-01-27 23:51:06,-27.7951,-64.2615,71.96,74,96,8.32
217,Ponta Delgada,PT,2022-01-27 23:51:07,37.7333,-25.6667,56.5,76,20,8.05
218,Virginia Beach,US,2022-01-27 23:51:07,36.8529,-75.978,35.62,67,0,3.44
219,Sultanpur,IN,2022-01-27 23:46:48,26.2667,82.0667,47.34,86,0,7.58
220,Dunedin,NZ,2022-01-27 23:48:42,-45.8742,170.5036,62.8,58,29,11.01
221,Paharpur,PK,2022-01-27 23:51:08,32.1038,70.9724,50.04,41,0,1.92
222,Solnechnyy,RU,2022-01-27 23:52:08,50.7214,136.6319,-4.25,96,100,1.52
223,Zwettl,AT,2022-01-27 23:52:08,48.6,15.1667,35.74,93,96,18.7
224,Gashua,NG,2022-01-27 23:52:09,12.871,11.0482,61.0,29,11,11.05
225,Sur,OM,2022-01-27 23:52:09,22.5667,59.5289,67.19,50,0,3.18
226,Ostrovnoy,RU,2022-01-27 23:52:09,68.0531,39.5131,18.43,89,100,10.42
227,Ambulu,ID,2022-01-27 23:52:10,-8.345,113.6058,78.82,87,100,1.68
228,Nanortalik,GL,2022-01-27 23:52:10,60.1432,-45.2371,12.88,76,60,10.96
229,Macas,EC,2022-01-27 23:52:10,-2.3167,-78.1167,76.75,73,75,2.3
230,Falakata,IN,2022-01-27 23:52:11,26.5208,89.2055,51.73,68,1,1.59
231,Katsuura,JP,2022-01-27 23:52:11,35.1333,140.3,45.19,97,100,9.01
232,Kailua,US,2022-01-27 23:52:11,21.4022,-157.7394,82.38,66,75,5.75
233,Poum,NC,2022-01-27 23:52:11,-20.2333,164.0167,83.25,74,17,16.46
